run,event,trackIndex,gid,layer,wire,localLayer,sLayer,rawDriftDist,rawDriftDistErr,middleX,middleY,isSignal,PID,charge,turnId,scaledFltLen,lrAmbig,posX,posY,posZ,momX,momY,momZ,initialPosX,initialPosY,initialPosZ,initialMomX,initialMomY,initialMomZ
-9947,12,1,720,10,84,2,2,0.561729,0.00860586,22.3541,-5.21768,1,2212,1,1,0.103433,1,22.3885,-4.65767,-24.84,0.248682,-0.0190971,-0.290544,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,4,721,10,85,2,2,0.792383,0.0143702,22.6694,-3.60966,1,-211,-1,1,0.0785478,-1,22.3896,-4.33962,14.8269,0.17293,-0.0662668,0.103983,0.0537745,0.00156384,1.93036,0.186084,-0.00511756,0.105916,
-9947,12,5,722,10,86,2,2,0.68764,0.012388,22.8692,-1.98324,1,211,1,1,0.347315,1,22.4456,-1.44201,-13.2234,0.0368891,0.0288899,-0.0292521,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,5,723,10,87,2,2,0.522245,0.00810084,22.9524,-0.346723,1,211,1,1,0.367235,-1,23.2913,-0.725953,-13.9155,0.0348866,0.0311965,-0.0292408,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,2,740,11,16,3,2,0.260317,0.00818171,9.73838,22.5413,1,-2212,-1,1,0.0589192,1,9.52816,22.6732,-5.14692,0.116582,0.185853,-0.0614508,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,5,742,11,18,3,2,0.800744,0.0139134,6.43129,23.6978,1,211,1,-1,1.1466,1,6.06998,24.3326,-43.9105,-0.0375601,-0.0214266,-0.0313349,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,5,743,11,19,3,2,0.575524,0.00824072,4.72432,24.0962,1,211,1,-1,1.18145,-1,5.03616,23.6524,-44.8125,-0.0353302,-0.0246871,-0.0314194,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,3,765,11,41,3,2,0.84844,0.0139134,-24.0962,4.72432,1,211,1,1,0.170433,1,-24.0077,3.91825,-20.8086,-0.128999,-0.0141632,-0.11993,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,3,766,11,42,3,2,0.877153,0.0139134,-24.3719,2.99328,1,211,1,1,0.175701,-1,-24.4846,3.86344,-21.2523,-0.128684,-0.01664,-0.11995,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,1,809,11,85,3,2,0.0660596,0.0121982,24.0962,-4.72432,1,2212,1,1,0.115066,-1,24.0942,-4.76459,-26.8311,0.24898,-0.0126756,-0.290549,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,5,812,12,0,0,3,0.77037,0.0139289,26.1796,1.36285,1,211,1,1,0.412682,1,25.5818,1.79766,-16.0465,0.0275237,0.0379057,-0.0290574,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,5,813,12,1,0,3,0.336653,0.00724652,26.0423,3.00399,1,211,1,1,0.437221,-1,26.2767,2.85951,-16.8342,0.0246497,0.0397791,-0.029009,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,2,830,12,18,0,3,0.557517,0.00808165,9.91357,24.2682,1,-2212,-1,1,0.0637119,-1,10.3634,23.9742,-5.58053,0.119998,0.183509,-0.0614805,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,5,831,12,19,0,3,0.556296,0.00806628,8.37019,24.8428,1,211,1,-1,1.10488,1,8.17538,25.3348,-42.2301,-0.0403951,-0.0160137,-0.0311073,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,5,832,12,20,0,3,0.558703,0.00809656,6.79378,25.3194,1,211,1,-1,1.12931,-1,7.02664,24.8333,-43.1302,-0.0390599,-0.0187553,-0.0312279,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,3,859,12,47,0,3,0.102998,0.0100812,-25.9712,3.56685,1,211,1,1,0.187099,-1,-25.9836,3.64592,-22.653,-0.128154,-0.0200692,-0.119968,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,0,901,12,89,0,3,1.07783,0.0140169,21.0404,-15.6374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,1,908,12,96,0,3,0.367584,0.00718257,25.696,-5.19056,1,2212,1,1,0.122351,1,25.7082,-4.83427,-28.7139,0.249096,-0.00852182,-0.290553,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,5,914,13,2,1,3,0.5053,0.00735116,27.523,4.05442,1,211,1,1,0.456282,1,27.0732,4.27833,-17.8432,0.0208332,0.0418818,-0.0290176,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,5,915,13,3,1,3,0.486083,0.00724136,27.2141,5.7746,1,211,1,1,0.503023,-1,27.6511,5.61531,-18.7736,0.0155325,0.0426707,-0.0297648,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,2,930,13,18,1,3,0.166913,0.00869359,11.3243,25.4109,1,-2212,-1,1,0.0667533,1,11.321,25.4131,-6.06489,0.124459,0.180449,-0.0612888,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,5,931,13,19,1,3,0.262146,0.0076546,9.70638,26.0718,1,211,1,-1,1.06071,-1,9.7583,25.8424,-41.0441,-0.0425344,-0.00967188,-0.030954,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,3,960,13,48,1,3,0.456421,0.00717411,-27.6666,2.91764,1,211,1,1,0.199192,-1,-27.7475,3.33103,-24.3108,-0.127262,-0.024922,-0.12,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,4,1008,13,96,1,3,0.0247204,0.0135531,27.0827,-6.36218,1,-211,-1,1,0.0978366,-1,27.0753,-6.37755,17.6971,0.166765,-0.0804803,0.103979,0.0537745,0.00156384,1.93036,0.186084,-0.00511756,0.105916,
-9947,12,1,1009,13,97,1,3,0.245752,0.00781095,27.4288,-4.64908,1,2212,1,1,0.127652,-1,27.4253,-4.87995,-30.7163,0.249247,-0.00372983,-0.290477,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,5,1015,14,3,2,3,0.809524,0.0134448,28.7743,6.34224,1,211,1,1,0.506378,1,27.9918,6.5803,-19.4447,0.0132343,0.0434859,-0.0297204,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,0,1016,14,4,2,3,0.0628572,0.0111752,28.3735,7.94566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
